transcript	gene	chr	amino_acids	genomic_start	genomic_end	obs_mis	exp_mis	obs_exp	chisq_diff_null	region_name
ENST00000265107.4	WDR70	5	628-655	37752592	37752675	10	8,241848679	1,213320019	0	WDR70_3
ENST00000253496.3	F12	5	1-142	176836528	176832158	46	41,76400224	1,101427007	0	F12_1
ENST00000253496.3	F12	5	143-504	176832157	176830274	97	177,5969611	0,546180517	43,86160844	F12_2
ENST00000253496.3	F12	5	505-616	176830273	176829293	50	49,40703735	1,012001583	0	F12_3
ENST00000274289.3	PLK2	5	1-120	57755786	57754830	40	55,64818768	0,718801486	4,882770827	PLK2_1
ENST00000274289.3	PLK2	5	121-280	57754829	57753176	6	44,07151353	0,136142363	52,21437723	PLK2_2
ENST00000274289.3	PLK2	5	281-686	57753175	57750410	70	119,8711924	0,583960154	24,43323093	PLK2_3
ENST00000401695.3	RPS14	5	1-128	149827296	149825176	19	48,40998632	0,392481003	17,86712539	RPS14_1
ENST00000401695.3	RPS14	5	129-152	149825175	149823849	0	17,01426564	0	17,01426564	RPS14_2
ENST00000265070.6	GOLPH3	5	1-120	32174140	32135790	16	54,7431869	0,292273814	27,41956792	GOLPH3_1
ENST00000265070.6	GOLPH3	5	121-299	32135789	32126318	48	63,83364189	0,75195459	3,927462197	GOLPH3_2
ENST00000394894.3	KIF20A	5	1-70	137515370	137517155	10	27,48590194	0,36382288	11,12413074	KIF20A_1
ENST00000394894.3	KIF20A	5	71-891	137517156	137523102	264	270,1783393	0,977132366	0,141284	KIF20A_2
ENST00000338316.4	ADCY2	5	1-791	7396410	7773203	181	321,4979169	0,562989651	61,39904374	ADCY2_1
ENST00000338316.4	ADCY2	5	792-1092	7773204	7826984	30	113,4423658	0,264451466	61,3759098	ADCY2_2
ENST00000265094.5	FBXW11	5	1-71	171433506	171337736	20	22,011314	0,908623629	0,183786575	FBXW11_1
ENST00000265094.5	FBXW11	5	72-543	171337735	171295639	44	169,3723678	0,259782635	92,80280373	FBXW11_2
ENST00000230640.5	SKIV2L2	5	1-476	54603842	54646854	108	152,7634817	0,706975245	14,626884	SKIV2L2_1
ENST00000230640.5	SKIV2L2	5	477-610	54646855	54674161	9	42,56227542	0,21145486	39,1571637	SKIV2L2_2
ENST00000230640.5	SKIV2L2	5	611-1043	54674162	54720600	113	126,8280709	0,89096995	1,565667146	SKIV2L2_3
ENST00000439211.2	DHFR	5	1-29	79950308	79949876	1	14,57621773	0,068604903	12,64482264	DHFR_1
ENST00000439211.2	DHFR	5	30-188	79949875	79924906	27	38,57857248	0,699870375	3,475072612	DHFR_2
ENST00000382611.6	IRX2	5	1-173	2751527	2749632	17	71,31899528	0,238365669	41,37121165	IRX2_1
ENST00000382611.6	IRX2	5	174-472	2749631	2747678	118	156,1783756	0,75554634	9,332843663	IRX2_2
ENST00000512097.3	KCNN2	5	1-120	113698473	113698832	57	57,32886299	0,99426357	0,001886499	KCNN2_1
ENST00000512097.3	KCNN2	5	121-484	113698833	113829169	38	126,7028987	0,299914212	62,09963874	KCNN2_2
ENST00000512097.3	KCNN2	5	485-580	113831592	113831879	46	37,46879202	1,227688365	1,942456793	KCNN2_3
ENST00000254900.5	BRD8	5	1-99	137514303	137506789	13	38,87215235	0,334429642	17,2197377	BRD8_1
ENST00000254900.5	BRD8	5	100-608	137506788	137500010	149	150,7625653	0,988308999	0,020606153	BRD8_2
ENST00000254900.5	BRD8	5	609-859	137500009	137495244	19	74,81078812	0,253974065	41,63629536	BRD8_3
ENST00000254900.5	BRD8	5	860-1236	137488449	137475763	109	104,1477442	1,046590119	0,226067176	BRD8_4
ENST00000255194.6	AP3B1	5	1-261	77590403	77511882	50	83,54562541	0,598475381	13,46939446	AP3B1_1
ENST00000255194.6	AP3B1	5	262-1095	77511881	77298726	275	227,3699391	1,209482666	9,977672118	AP3B1_2
ENST00000306675.3	ADRA1B	5	1-367	159343913	159399037	105	139,7301159	0,7514486	8,632218901	ADRA1B_1
ENST00000306675.3	ADRA1B	5	368-521	159399038	159399499	6	87,94661432	0,068223206	76,35595356	ADRA1B_2
ENST00000344204.4	TRIO	5	1-2179	14143835	14482762	399	783,8365755	0,50903468	188,9414126	TRIO_1
ENST00000344204.4	TRIO	5	2180-3098	14482763	14508531	309	359,597165	0,859294872	7,119280553	TRIO_2
ENST00000306315.5	ZNF608	5	1-314	124080682	124036927	114	109,5347284	1,040765807	0	ZNF608_1
ENST00000306315.5	ZNF608	5	315-448	124036926	123984733	22	53,62648609	0,410245041	24,04894419	ZNF608_2
ENST00000306315.5	ZNF608	5	449-1513	123984732	123973593	341	334,3187817	1,019984574	0	ZNF608_3
ENST00000230859.6	PAPD7	5	1-302	6737657	6749739	46	114,6378845	0,401263511	41,09600602	PAPD7_1
ENST00000230859.6	PAPD7	5	303-543	6749740	6755058	96	97,22645305	0,987385603	0,015470965	PAPD7_2
ENST00000265080.4	RASGRF2	5	1-512	80256558	80388765	95	187,2195928	0,507425524	45,42501756	RASGRF2_1
ENST00000265080.4	RASGRF2	5	513-1238	80388766	80521589	208	258,3047558	0,805250369	9,796832621	RASGRF2_2
ENST00000355237.2	OCLN	5	1-296	68800072	68809933	103	88,12844772	1,168748601	2,509553645	OCLN_1
ENST00000355237.2	OCLN	5	297-523	68809934	68849498	0	51,24925991	0	51,24925991	OCLN_2
ENST00000518783.1	GRIA1	5	1-415	152871759	153077684	114	144,6181106	0,788283013	6,482374124	GRIA1_1
ENST00000518783.1	GRIA1	5	416-917	153077685	153190785	62	190,0126264	0,326294106	86,24286092	GRIA1_2
ENST00000284268.6	ANKH	5	1-426	14871556	14713070	83	172,5763315	0,480946601	46,49489933	ANKH_1
ENST00000284268.6	ANKH	5	427-493	14713069	14711306	34	26,40417267	1,287675263	2,185131627	ANKH_2
ENST00000264938.3	SLC9A3	5	1-549	524437	479951	116	233,4868589	0,496815969	59,11751127	SLC9A3_1
ENST00000264938.3	SLC9A3	5	550-835	477559	473494	123	135,1913135	0,909821769	1,099391083	SLC9A3_2
ENST00000505374.1	DDX4	5	1-453	55034792	55088525	145	141,4965955	1,024759638	0,086743028	DDX4_1
ENST00000505374.1	DDX4	5	454-656	55088526	55110981	19	66,94687026	0,283807143	34,33920598	DDX4_2
ENST00000505374.1	DDX4	5	657-725	55110982	55112368	23	17,32448943	1,327600452	1,859299826	DDX4_3
ENST00000395965.3	FAM172A	5	1-301	93410456	93159857	100	90,36234462	1,106655659	1,027910483	FAM172A_1
ENST00000395965.3	FAM172A	5	302-417	93159856	92956693	26	49,94755068	0,520546046	11,48174787	FAM172A_2
ENST00000304858.2	HSPA4	5	1-53	132387943	132400723	3	22,56469162	0,132951075	16,96354484	HSPA4_1
ENST00000304858.2	HSPA4	5	54-841	132400724	132440128	202	216,0493927	0,934971385	0,913612541	HSPA4_2
ENST00000523908.1	CLINT1	5	1-167	157285978	157240087	24	51,9894064	0,461632507	15,06858656	CLINT1_1
ENST00000523908.1	CLINT1	5	168-644	157240086	157214654	155	134,4408947	1,152923003	3,143960127	CLINT1_2
ENST00000354283.4	DDX46	5	1-6	134094629	134099594	0	6,422644626	0	12,84528925	DDX46_1
ENST00000354283.4	DDX46	5	7-406	134099595	134120107	66	135,6616274	0,486504558	44,21606552	DDX46_2
ENST00000354283.4	DDX46	5	407-1032	134120108	134164396	47	181,7141856	0,258647941	142,3133516	DDX46_3
ENST00000378679.3	SHROOM1	5	1-214	132161832	132161191	29	97,22805149	0,298267831	47,87781858	SHROOM1_1
ENST00000378679.3	SHROOM1	5	215-656	132161190	132159200	178	128,5859526	1,384288069	18,98922886	SHROOM1_2
ENST00000378679.3	SHROOM1	5	657-853	132159199	132158488	67	107,3757904	0,623976781	15,18223468	SHROOM1_3
ENST00000394805.3	MATR3	5	1-623	138643105	138658377	85	184,4434875	0,460845765	53,61537746	MATR3_1
ENST00000394805.3	MATR3	5	624-848	138658378	138665084	69	64,30317329	1,073041912	0,343065202	MATR3_2
ENST00000289269.5	PCDHAC2	5	1-448	140346352	140347695	111	225,0033637	0,493325958	57,76254507	PCDHAC2_1
ENST00000289269.5	PCDHAC2	5	449-1008	140347696	140389522	179	171,6432281	1,042860834	0,315317377	PCDHAC2_2
ENST00000438447.1	PDZD2	5	1-732	31799356	32058205	240	274,6217676	0,873929267	4,560733412	PDZD2_1
ENST00000438447.1	PDZD2	5	733-820	32058206	32069683	16	37,64783391	0,42499125	15,91369348	PDZD2_2
ENST00000438447.1	PDZD2	5	821-2840	32069684	32108241	713	698,1410203	1,021283636	0	PDZD2_3
ENST00000407818.3	KIF2A	5	1-406	61602300	61659103	46	92,0619691	0,499663438	28,29244935	KIF2A_1
ENST00000407818.3	KIF2A	5	407-497	61659104	61661093	0	24,99170912	0	49,98341823	KIF2A_2
ENST00000407818.3	KIF2A	5	498-745	61661094	61681396	38	66,65933711	0,570062675	14,6059926	KIF2A_3
ENST00000353963.3	SLC23A1	5	1-91	138718942	138717616	37	31,74633721	1,165488786	0	SLC23A1_1
ENST00000353963.3	SLC23A1	5	92-435	138717615	138713927	65	118,8481271	0,546916486	29,24656267	SLC23A1_2
ENST00000353963.3	SLC23A1	5	436-603	138713926	138707695	54	50,90176122	1,060867025	0	SLC23A1_3
ENST00000282382.4	TMED7-TICAM2	5	1-236	114961489	114916753	41	80,12567755	0,511696141	19,10521933	TMED7-TICAM2_1
ENST00000282382.4	TMED7-TICAM2	5	237-405	114916752	114916246	68	48,95413941	1,389055161	7,409890355	TMED7-TICAM2_2
ENST00000296953.2	CREBRF	5	1-364	172507779	172518274	90	99,35658332	0,90582825	0,881125825	CREBRF_1
ENST00000296953.2	CREBRF	5	365-640	172518275	172560748	29	79,07201381	0,366754286	31,70788812	CREBRF_2
ENST00000507955.1	DDX41	5	1-318	176943946	176940830	134	151,4267821	0,884916117	2,00554176	DDX41_1
ENST00000507955.1	DDX41	5	319-623	176940829	176938792	51	136,4930081	0,373645513	53,54892928	DDX41_2
ENST00000239938.4	EGR1	5	1-313	137801451	137803077	99	126,1938867	0,784507099	5,860089529	EGR1_1
ENST00000239938.4	EGR1	5	314-544	137803078	137803770	42	112,7432463	0,372527858	44,38941629	EGR1_2
ENST00000341199.6	SIMC1	5	1-157	175665512	175740732	13	31,09094451	0,418128179	10,52661083	SIMC1_1
ENST00000341199.6	SIMC1	5	158-458	175740733	175772448	102	88,82627303	1,148308901	1,953780976	SIMC1_2
ENST00000264914.4	ARSB	5	1-54	78281071	78280910	4	24,35604956	0,164230246	17,01297054	ARSB_1
ENST00000264914.4	ARSB	5	55-534	78280909	78076220	159	172,8006479	0,920135439	1,102182684	ARSB_2
ENST00000296802.5	NSA2	5	1-71	74063186	74065060	9	28,89742277	0,311446459	13,70044091	NSA2_1
ENST00000296802.5	NSA2	5	72-261	74065061	74072496	64	55,12172863	1,161066636	1,429993299	NSA2_2
ENST00000282356.4	CAMK4	5	1-340	110560182	110819762	70	123,6234798	0,566235477	23,25996313	CAMK4_1
ENST00000282356.4	CAMK4	5	341-474	110819763	110820164	48	36,07967952	1,330388757	3,93833987	CAMK4_2
ENST00000296824.3	CCDC127	5	1-52	216964	206039	1	14,35353525	0,069669248	12,4232045	CCDC127_1
ENST00000296824.3	CCDC127	5	53-261	206038	205412	82	84,88683208	0,965991992	0,098175409	CCDC127_2
ENST00000292385.5	DBN1	5	1-239	176899211	176893833	62	98,29484992	0,630755325	13,40168007	DBN1_1
ENST00000292385.5	DBN1	5	240-652	176893832	176884434	161	154,2815791	1,043546488	0,292563638	DBN1_2
ENST00000274140.5	MARCH6	5	1-115	10354011	10387116	6	38,30325491	0,156644651	27,24312281	MARCH6_1
ENST00000274140.5	MARCH6	5	116-911	10387117	10433796	156	263,3165153	0,5924429	43,73760776	MARCH6_2
ENST00000303230.4	HCN1	5	1-592	45696195	45267198	44	214,8072655	0,204834785	135,8199961	HCN1_1
ENST00000303230.4	HCN1	5	593-891	45267197	45262023	95	120,6094361	0,787666397	5,437743839	HCN1_2
ENST00000274487.4	ADAMTS19	5	1-190	128796103	128797291	20	93,80214609	0,213214738	58,06644085	ADAMTS19_1
ENST00000274487.4	ADAMTS19	5	191-1037	128797292	129037255	243	245,1173606	0,99136185	0,018290079	ADAMTS19_2
ENST00000274487.4	ADAMTS19	5	1038-1208	129037256	129072911	32	62,83307521	0,509285912	15,13022439	ADAMTS19_3
ENST00000316418.5	AHRR	5	1-267	304335	427948	84	128,8564295	0,651888309	15,61504751	AHRR_1
ENST00000316418.5	AHRR	5	268-720	427949	434949	181	162,5103105	1,113775486	2,103673398	AHRR_2
ENST00000296755.7	MAP1B	5	1-365	71403359	71490277	64	128,1465849	0,499428058	32,10998063	MAP1B_1
ENST00000296755.7	MAP1B	5	366-2469	71490278	71501066	582	633,0130222	0,919412365	4,111018804	MAP1B_2
ENST00000414552.2	GABRG2	5	1-64	161495006	161520918	22	19,48883785	1,128851303	0	GABRG2_1
ENST00000414552.2	GABRG2	5	65-402	161520919	161576277	26	97,20660027	0,26747155	73,83861263	GABRG2_2
ENST00000414552.2	GABRG2	5	403-516	161576278	161580374	29	41,1231768	0,705198437	3,988342989	GABRG2_3
ENST00000265343.5	AFF4	5	1-911	132272881	132223852	251	293,4541837	0,855329431	6,141870918	AFF4_1
ENST00000265343.5	AFF4	5	912-1164	132223851	132216751	27	71,68067992	0,376670534	27,85078435	AFF4_2
ENST00000281631.5	PARP8	5	1-487	49962930	50092848	142	146,7383712	0,967708711	0,153008113	PARP8_1
ENST00000281631.5	PARP8	5	488-855	50092849	50137902	60	111,063861	0,540229733	23,47764498	PARP8_2
ENST00000521381.1	PIK3R1	5	1-325	67522504	67588145	112	106,3427791	1,053197978	0,300952714	PIK3R1_1
ENST00000521381.1	PIK3R1	5	326-725	67588146	67593429	47	128,3564449	0,366167823	51,56633257	PIK3R1_2
ENST00000455880.2	GLRA1	5	1-18	151304110	151304057	13	5,646132168	2,302461156	9,5781272	GLRA1_1
ENST00000455880.2	GLRA1	5	19-304	151304056	151230951	47	99,60801809	0,471849565	27,78494764	GLRA1_2
ENST00000455880.2	GLRA1	5	305-458	151208628	151202234	66	55,47520917	1,189720616	1,996769795	GLRA1_3
ENST00000509634.1	ZNF131	5	1-20	43122156	43122215	8	6,915734148	1,156782466	0	ZNF131_1
ENST00000509634.1	ZNF131	5	21-82	43122216	43139286	2	21,99879373	0,090914076	30,40622569	ZNF131_2
ENST00000509634.1	ZNF131	5	83-590	43139287	43175235	112	147,8397277	0,757577153	9,490358965	ZNF131_3
ENST00000274547.2	GABRB2	5	1-318	160973649	160758013	32	104,197995	0,307107637	50,02543935	GABRB2_1
ENST00000274547.2	GABRB2	5	319-513	160758012	160721088	63	74,16035878	0,849510453	1,679517336	GABRB2_2
ENST00000257527.4	ADAM19	5	1-650	157002704	156918879	154	221,6733696	0,694715835	20,65960815	ADAM19_1
ENST00000257527.4	ADAM19	5	651-919	156918878	156907957	103	90,95873916	1,132381572	1,594041033	ADAM19_2
ENST00000428797.2	GABRA1	5	1-242	161277817	161317926	33	85,2238769	0,387215428	32,00198604	GABRA1_1
ENST00000428797.2	GABRA1	5	243-356	161317927	161324125	1	29,7059326	0,033663309	27,73959591	GABRA1_2
ENST00000428797.2	GABRA1	5	357-457	161324126	161324428	25	31,29032069	0,79896912	1,264548701	GABRA1_3
ENST00000398557.4	DIAPH1	5	1-364	140998481	140957863	62	111,7370223	0,554874282	26,43634457	DIAPH1_1
ENST00000398557.4	DIAPH1	5	365-785	140957862	140953062	116	109,2967342	1,061330889	0	DIAPH1_2
ENST00000398557.4	DIAPH1	5	786-1273	140953061	140896418	111	163,40672	0,679286629	18,96335237	DIAPH1_3
ENST00000302472.3	PTGER4	5	1-334	40681096	40692015	60	186,8251655	0,321155878	86,09451813	PTGER4_1
ENST00000302472.3	PTGER4	5	335-489	40692016	40692480	54	50,87023663	1,061524451	0,192556972	PTGER4_2
ENST00000286307.5	LSM11	5	1-194	157170759	157178531	42	91,85832702	0,457225832	27,06181197	LSM11_1
ENST00000286307.5	LSM11	5	195-361	157178532	157182272	64	60,06335141	1,065541607	0,258014276	LSM11_2
ENST00000381937.4	NADK2	5	1-53	36241900	36241742	0	17,96915754	0	17,96915754	NADK2_1
ENST00000381937.4	NADK2	5	54-443	36241741	36195246	89	122,9191003	0,724053461	9,359858346	NADK2_2
ENST00000286301.3	CSF1R	5	1-770	149465990	149436859	260	276,7681571	0,939414428	1,037069895	CSF1R_1
ENST00000286301.3	CSF1R	5	771-853	149436858	149434895	5	36,93003328	0,135391159	43,86419438	CSF1R_2
ENST00000286301.3	CSF1R	5	854-973	149434894	149433632	40	34,03429142	1,175285229	0	CSF1R_3
ENST00000354209.3	PRKAA1	5	1-147	40798291	40771933	36	57,8653123	0,622134377	9,55948437	PRKAA1_1
ENST00000354209.3	PRKAA1	5	148-238	40771932	40767720	2	23,71930911	0,084319488	33,54604916	PRKAA1_2
ENST00000354209.3	PRKAA1	5	239-575	40767719	40762880	68	93,70565884	0,725676558	7,802798625	PRKAA1_3
ENST00000508859.2	ZDHHC11B	5	1-84	767067	766816	51	39,50753364	1,290893035	0	ZDHHC11B_1
ENST00000508859.2	ZDHHC11B	5	85-213	766815	751270	0	23,88809123	0	47,77618247	ZDHHC11B_2
ENST00000508859.2	ZDHHC11B	5	214-383	751269	716923	70	55,61580912	1,25863493	0	ZDHHC11B_3
ENST00000511367.2	DROSHA	5	1-470	31529166	31511164	164	155,3702372	1,055543217	0,479324788	DROSHA_1
ENST00000511367.2	DROSHA	5	471-1375	31511163	31401539	108	284,8066513	0,379204627	109,760751	DROSHA_2
ENST00000513104.1	TRPC7	5	1-345	135700942	135610454	93	174,1337587	0,534072202	45,60380893	TRPC7_1
ENST00000513104.1	TRPC7	5	346-560	135610453	135583323	88	80,75655604	1,08969481	0	TRPC7_2
ENST00000513104.1	TRPC7	5	561-863	135583322	135549123	51	81,34239783	0,626979304	13,06693753	TRPC7_3
ENST00000403625.2	MAST4	5	1-799	65892484	66432395	192	273,3088734	0,70250189	24,1892362	MAST4_1
ENST00000403625.2	MAST4	5	800-2624	66432396	66462879	584	596,2648256	0,979430573	0,252280429	MAST4_2
ENST00000378731.1	CCNI2	5	1-165	132083188	132084104	15	45,76464622	0,327763923	20,68110507	CCNI2_1
ENST00000378731.1	CCNI2	5	166-370	132084105	132088662	54	54,53401416	0,990207686	0,005229234	CCNI2_2
ENST00000265069.8	ZFR	5	1-430	32444764	32403437	46	125,1215504	0,367642503	66,18382783	ZFR_1
ENST00000265069.8	ZFR	5	431-553	32403436	32400166	44	36,98188427	1,189771719	0	ZFR_2
ENST00000265069.8	ZFR	5	554-1075	32400165	32355866	98	185,3152111	0,528828688	49,76063706	ZFR_3
ENST00000284049.3	CHD1	5	1-324	98262090	98235297	97	87,51451196	1,108387601	1,028109296	CHD1_1
ENST00000284049.3	CHD1	5	325-1508	98235296	98195676	151	321,1864905	0,470131853	90,17640033	CHD1_2
ENST00000284049.3	CHD1	5	1509-1711	98194719	98192084	81	65,66876137	1,233463192	3,579279903	CHD1_3
ENST00000313708.6	EBF1	5	1-376	158526486	158141188	65	162,04283	0,401128516	58,1161836	EBF1_1
ENST00000313708.6	EBF1	5	377-592	158141187	158126119	58	75,93719202	0,763789106	4,236960163	EBF1_2
ENST00000398376.3	CAMK2A	5	1-356	149669188	149610942	19	130,0518915	0,14609553	94,8277066	CAMK2A_1
ENST00000398376.3	CAMK2A	5	357-490	149610941	149602273	27	67,22159694	0,401656629	24,06632591	CAMK2A_2
ENST00000231509.3	NR3C1	5	1-426	142780404	142693640	137	116,7997627	1,172947589	3,493582333	NR3C1_1
ENST00000231509.3	NR3C1	5	427-779	142693639	142661454	35	99,60110986	0,351401707	41,9001696	NR3C1_2
ENST00000340208.5	MEF2C	5	1-109	88119605	88056934	6	46,4010456	0,129307431	56,25534091	MEF2C_1
ENST00000340208.5	MEF2C	5	110-140	88056933	88056841	13	11,52629201	1,127856208	0	MEF2C_2
ENST00000340208.5	MEF2C	5	141-484	88056840	88018421	29	106,6637742	0,271882373	79,78917428	MEF2C_3
ENST00000305031.4	CHSY3	5	1-271	129240523	129243780	51	139,0928853	0,366661457	55,79261961	CHSY3_1
ENST00000305031.4	CHSY3	5	272-883	129243781	129521484	202	184,4621044	1,095075873	1,667430725	CHSY3_2
ENST00000518802.1	RNF145	5	1-226	158636911	158603673	35	53,24903469	0,657288911	6,25414656	RNF145_1
ENST00000518802.1	RNF145	5	227-572	158603672	158588274	30	110,1074986	0,272461007	58,28132883	RNF145_2
ENST00000518802.1	RNF145	5	573-595	158586043	158585975	0	7,206782576	0	7,206782576	RNF145_3
ENST00000518802.1	RNF145	5	596-694	158585974	158585678	36	27,55239745	1,306601361	2,590046434	RNF145_4
ENST00000274773.7	TRIM7	5	1-168	180632110	180631607	12	44,81063487	0,267793573	24,02415774	TRIM7_1
ENST00000274773.7	TRIM7	5	169-346	180631606	180622664	76	54,79633691	1,386954024	8,204842768	TRIM7_2
ENST00000274773.7	TRIM7	5	347-512	180622663	180622166	58	94,83735762	0,611573345	14,30861161	TRIM7_3
ENST00000265073.4	SUB1	5	1-57	32588619	32591767	16	13,37990746	1,19582292	0,513074172	SUB1_1
ENST00000265073.4	SUB1	5	58-128	32591768	32601190	3	21,7117042	0,138174322	16,12622716	SUB1_2
ENST00000314358.5	KDM3B	5	1-1380	137688485	137759931	286	433,0051733	0,660500192	49,90822813	KDM3B_1
ENST00000314358.5	KDM3B	5	1381-1762	137759932	137771389	27	119,9799621	0,225037577	72,05597669	KDM3B_2
ENST00000296930.5	NPM1	5	1-152	170814953	170819817	12	46,3170047	0,259084111	25,42601404	NPM1_1
ENST00000296930.5	NPM1	5	153-295	170819818	170837569	36	36,95805635	0,974077199	0,024835505	NPM1_2
ENST00000261799.4	PDGFRB	5	1-491	149516610	149509426	193	208,4521421	0,925871992	1,174837605	PDGFRB_1
ENST00000261799.4	PDGFRB	5	492-637	149509425	149504291	28	70,08729424	0,399501797	32,79251561	PDGFRB_2
ENST00000261799.4	PDGFRB	5	638-1107	149504290	149495326	152	188,6226158	0,805841862	7,621433687	PDGFRB_3
ENST00000323249.3	PRR7	5	1-147	176882069	176882738	10	77,02458256	0,129828682	58,32286938	PRR7_1
ENST00000323249.3	PRR7	5	148-275	176882739	176883122	31	64,22631943	0,482668169	17,18903267	PRR7_2
ENST00000274710.3	PSD2	5	1-314	139189026	139193875	155	122,2228768	1,268175026	8,790005877	PSD2_1
ENST00000274710.3	PSD2	5	315-772	139193876	139222059	140	194,2550761	0,720701888	15,15334033	PSD2_2
ENST00000262461.2	SLC12A2	5	1-836	127419647	127497384	173	294,8466652	0,586745656	50,35366366	SLC12A2_1
ENST00000262461.2	SLC12A2	5	837-1213	127497385	127522323	107	107,4368482	0,995933908	0,001776265	SLC12A2_2
ENST00000311601.5	SH3PXD2B	5	1-127	171881356	171809060	28	53,24318739	0,525888877	11,96807594	SH3PXD2B_1
ENST00000311601.5	SH3PXD2B	5	128-912	171809059	171765373	311	301,8547885	1,030296725	0,27706996	SH3PXD2B_2
ENST00000394370.3	FBXO38	5	1-479	147774340	147796586	92	145,5550925	0,632063079	22,69722622	FBXO38_1
ENST00000394370.3	FBXO38	5	480-812	147796587	147812994	123	115,2045551	1,067666117	0	FBXO38_2
ENST00000394370.3	FBXO38	5	813-1114	147812995	147821710	61	107,3538335	0,568214455	23,74638984	FBXO38_3
ENST00000357387.3	RICTOR	5	1-256	39074479	38978738	34	80,97739807	0,419870245	27,25298642	RICTOR_1
ENST00000357387.3	RICTOR	5	257-1709	38978737	38942406	342	433,1615306	0,789543798	19,18550951	RICTOR_2
ENST00000264664.4	FGF10	5	1-76	44388784	44388557	34	25,17403125	1,350598149	3,094368305	FGF10_1
ENST00000264664.4	FGF10	5	77-209	44388556	44305097	11	39,27277827	0,280092229	20,35379279	FGF10_2
ENST00000510461.1	FNIP1	5	1-615	131132614	131008292	153	201,064144	0,760951192	12,5333536	FNIP1_1
ENST00000510461.1	FNIP1	5	616-1077	131008291	130987570	142	120,6664599	1,176797597	0	FNIP1_2
ENST00000510461.1	FNIP1	5	1078-1167	130987569	130980378	8	26,58759893	0,300892157	17,95914411	FNIP1_3
ENST00000545279.1	SMAD5	5	1-146	135489450	135496579	15	42,87297294	0,349870769	24,24020313	SMAD5_1
ENST00000545279.1	SMAD5	5	147-274	135496580	135508169	39	36,45644759	1,069769618	0	SMAD5_2
ENST00000545279.1	SMAD5	5	275-465	135508170	135513168	22	56,57730666	0,388848485	27,59373092	SMAD5_3
ENST00000382085.3	AMACR	5	1-106	34008124	34005934	30	56,93948689	0,526875138	12,74574102	AMACR_1
ENST00000382085.3	AMACR	5	107-395	34005933	33988413	111	94,51700544	1,174391841	2,874499762	AMACR_2
ENST00000282516.8	NIPBL	5	1-56	36953799	36955677	3	17,49453608	0,171482112	12,00898242	NIPBL_1
ENST00000282516.8	NIPBL	5	57-1040	36955678	36986402	264	272,1618922	0,970010893	0,244767859	NIPBL_2
ENST00000282516.8	NIPBL	5	1041-2805	36986403	37064994	240	509,5339667	0,471018648	142,5784422	NIPBL_3
ENST00000264670.6	NSUN2	5	1-119	6633092	6631988	46	38,03685633	1,20935336	0	NSUN2_1
ENST00000264670.6	NSUN2	5	120-325	6631987	6616886	43	74,88809476	0,574190065	16,06383554	NSUN2_2
ENST00000264670.6	NSUN2	5	326-768	6616885	6600039	177	149,7506127	1,181965114	0	NSUN2_3
ENST00000321521.9	PPIP5K2	5	1-63	102465294	102469231	26	18,69145597	1,391009884	2,857712951	PPIP5K2_1
ENST00000321521.9	PPIP5K2	5	64-921	102469232	102515730	123	255,2514715	0,481877731	68,52243245	PPIP5K2_2
ENST00000321521.9	PPIP5K2	5	922-1223	102515731	102537335	107	100,284231	1,066967348	0,449737235	PPIP5K2_3
ENST00000334121.6	SREK1	5	1-297	65440205	65460615	31	89,53251327	0,346242933	38,2660442	SREK1_1
ENST00000334121.6	SREK1	5	298-625	65460616	65474696	101	115,8618444	0,87172788	1,906360276	SREK1_2
ENST00000264933.4	PDCD6	5	1-33	271836	271934	11	12,44469674	0,883910651	0,174608997	PDCD6_1
ENST00000264933.4	PDCD6	5	34-73	271935	306727	0	13,21769923	0	26,43539846	PDCD6_2
ENST00000264933.4	PDCD6	5	74-192	306728	314630	46	69,71039901	0,659872855	9,175652189	PDCD6_3
ENST00000253754.3	PDLIM4	5	1-37	131593428	131598319	2	8,580091496	0,233097747	7,334993404	PDLIM4_1
ENST00000253754.3	PDLIM4	5	38-263	131598320	131607718	89	94,82334892	0,938587395	0,365181402	PDLIM4_2
ENST00000253754.3	PDLIM4	5	264-331	131607719	131607922	16	40,32143198	0,396811304	19,06544264	PDLIM4_3
ENST00000231188.5	GRM6	5	1-161	178421945	178421463	6	20,00454967	0,29993177	9,804140296	GRM6_1
ENST00000231188.5	GRM6	5	162-878	178421462	178408658	336	310,9353063	1,080610639	2,02048097	GRM6_2
ENST00000481195.1	PPP2CA	5	1-49	133561552	133541778	11	18,48453007	0,595092218	3,030544468	PPP2CA_1
ENST00000481195.1	PPP2CA	5	50-310	133541777	133533463	4	93,20304452	0,042917053	85,37471273	PPP2CA_2
ENST00000532219.1	ANKHD1-EIF4EBP3	5	1-1468	139781553	139903737	266	431,2430062	0,616821598	63,31755112	ANKHD1-EIF4EBP3_1
ENST00000532219.1	ANKHD1-EIF4EBP3	5	1469-2618	139903738	139928822	292	331,4676932	0,880930498	4,699398584	ANKHD1-EIF4EBP3_2
ENST00000304623.8	CTNND2	5	1-190	11903965	11397185	60	60,944105	0,984508674	0,014701551	CTNND2_1
ENST00000304623.8	CTNND2	5	191-305	11397184	11385039	7	63,99709714	0,109379961	83,01320822	CTNND2_2
